timestamp,datetime,timestamp_desc,message,report,attribution,source,md5,ip,domain
1622271934000,2021-05-29T09:05:34+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 173.255.194.134,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,173.255.194.134,boysrbabies.co
1595946039000,2020-07-28T16:20:39+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 198.58.118.167,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,198.58.118.167,boysrbabies.co
1551269963000,2019-02-27T13:19:23+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 38.132.118.111,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,38.132.118.111,boysrbabies.co
1622271934000,2021-05-29T09:05:34+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.33.18.44,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.33.18.44,boysrbabies.co
1595946039000,2020-07-28T16:20:39+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.33.2.79,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.33.2.79,boysrbabies.co
1622271934000,2021-05-29T09:05:34+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.33.20.235,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.33.20.235,boysrbabies.co
1595946038000,2020-07-28T16:20:38+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.33.23.183,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.33.23.183,boysrbabies.co
1622271933000,2021-05-29T09:05:33+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.33.30.197,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.33.30.197,boysrbabies.co
1595946039000,2020-07-28T16:20:39+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.56.79.23,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.56.79.23,boysrbabies.co
1595946038000,2020-07-28T16:20:38+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 45.79.19.196,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,45.79.19.196,boysrbabies.co
1622271934000,2021-05-29T09:05:34+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 72.14.178.174,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,72.14.178.174,boysrbabies.co
1622271934000,2021-05-29T09:05:34+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 72.14.185.43,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,72.14.185.43,boysrbabies.co
1595946039000,2020-07-28T16:20:39+00:00,VT_Domain_to_ip,Domain boysrbabies.co was resolving to 96.126.123.244,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boysrbabies.co/details,,96.126.123.244,boysrbabies.co
